0	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
10	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
20	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
30	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
40	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
50	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
60	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
70	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
80	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
90	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
100	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
110	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
120	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
130	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
140	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
150	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
160	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
170	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
180	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
190	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
200	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
210	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
220	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
230	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
240	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
250	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
260	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
270	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
280	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
290	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
300	0.0000000000	0.0000000000	-9.8100000000	0.0000000000	0.0000000000	0.0000000000
310	-0.0000083619	-0.0006008051	-9.8098996940	0.0000000000	0.0000000000	0.0000000000
320	-0.0000166986	-0.0011998066	-9.8097996890	0.0000000000	0.0000000000	0.0000000000
330	-0.0000250102	-0.0017970053	-9.8096999848	0.0000000000	0.0000000000	0.0000000000
340	-0.0000332966	-0.0023924014	-9.8096005810	0.0000000000	0.0000000000	0.0000000000
350	-0.0000415577	-0.0029859947	-9.8095014773	0.0000000000	0.0000000000	0.0000000000
360	-0.0000497935	-0.0035777841	-9.8094026733	0.0000000000	0.0000000000	0.0000000000
370	-0.0000580037	-0.0041677682	-9.8093041686	0.0000000000	0.0000000000	0.0000000000
380	-0.0000661882	-0.0047559449	-9.8092059628	0.0000000000	0.0000000000	0.0000000000
390	-0.0000743467	-0.0053423115	-9.8091080556	0.0000000000	0.0000000000	0.0000000000
400	-0.0000824792	-0.0059268646	-9.8090104466	0.0000000000	0.0000000000	0.0000000000
410	-0.0000905852	-0.0065096006	-9.8089131352	0.0000000000	0.0000000000	0.0000000000
420	-0.0000986645	-0.0070905149	-9.8088161212	0.0000000000	0.0000000000	0.0000000000
430	-0.0001067169	-0.0076696027	-9.8087194041	0.0000000000	0.0000000000	0.0000000000
440	-0.0001147418	-0.0082468584	-9.8086229833	0.0000000000	0.0000000000	0.0000000000
450	-0.0001227391	-0.0088222761	-9.8085268585	0.0000000000	0.0000000000	0.0000000000
460	-0.0001307082	-0.0093958492	-9.8084310292	0.0000000000	0.0000000000	0.0000000000
470	-0.0001386487	-0.0099675705	-9.8083354948	0.0000000000	0.0000000000	0.0000000000
480	-0.0001465602	-0.0105374325	-9.8082402550	0.0000000000	0.0000000000	0.0000000000
490	-0.0001544422	-0.0111054271	-9.8081453091	0.0000000000	0.0000000000	0.0000000000
500	-0.0001622942	-0.0116715455	-9.8080506566	0.0000000000	0.0000000000	0.0000000000
510	-0.0001701157	-0.0122357788	-9.8079562972	0.0000000000	0.0000000000	0.0000000000
520	-0.0001779061	-0.0127981171	-9.8078622301	0.0000000000	0.0000000000	0.0000000000
530	-0.0001856648	-0.0133585504	-9.8077684548	0.0000000000	0.0000000000	0.0000000000
540	-0.0001933912	-0.0139170681	-9.8076749709	0.0000000000	0.0000000000	0.0000000000
550	-0.0002010848	-0.0144736590	-9.8075817776	0.0000000000	0.0000000000	0.0000000000
560	-0.0002087447	-0.0150283117	-9.8074888745	0.0000000000	0.0000000000	0.0000000000
570	-0.0002163704	-0.0155810139	-9.8073962610	0.0000000000	0.0000000000	0.0000000000
580	-0.0002239612	-0.0161317534	-9.8073039364	0.0000000000	0.0000000000	0.0000000000
590	-0.0002315162	-0.0166805170	-9.8072119002	0.0000000000	0.0000000000	0.0000000000
600	-0.0002390349	-0.0172272914	-9.8071201517	0.0000000000	0.0000000000	0.0000000000
610	-0.0002465163	-0.0177720628	-9.8070286903	0.0000000000	0.0000000000	0.0000000000
620	-0.0002539597	-0.0183148167	-9.8069375154	0.0000000000	0.0000000000	0.0000000000
630	-0.0002613644	-0.0188555386	-9.8068466263	0.0000000000	0.0000000000	0.0000000000
640	-0.0002687294	-0.0193942133	-9.8067560224	0.0000000000	0.0000000000	0.0000000000
650	-0.0002760539	-0.0199308252	-9.8066657031	0.0000000000	0.0000000000	0.0000000000
660	-0.0002833370	-0.0204653583	-9.8065756676	0.0000000000	0.0000000000	0.0000000000
670	-0.0002905778	-0.0209977962	-9.8064859153	0.0000000000	0.0000000000	0.0000000000
680	-0.0002977754	-0.0215281221	-9.8063964455	0.0000000000	0.0000000000	0.0000000000
690	-0.0003049288	-0.0220563189	-9.8063072575	0.0000000000	0.0000000000	0.0000000000
700	-0.0003120372	-0.0225823689	-9.8062183506	0.0000000000	0.0000000000	0.0000000000
710	-0.0003190994	-0.0231062542	-9.8061297241	0.0000000000	0.0000000000	0.0000000000
720	-0.0003261145	-0.0236279565	-9.8060413773	0.0000000000	0.0000000000	0.0000000000
730	-0.0003330816	-0.0241474569	-9.8059533095	0.0000000000	0.0000000000	0.0000000000
